model,fixed_accuracy,fixed_macro_precision,fixed_macro_recall,fixed_macro_f1,fixed_avg_error_rate,multi_accuracy,multi_macro_precision,multi_macro_recall,multi_macro_f1,multi_avg_error_rate
ResNet18,0.35,0.3235,0.35,0.2565,0.65,0.35,0.3235,0.35,0.2565,0.65
ResNet18 + MIL,0.65,0.7188,0.65,0.6709,0.35,0.6,0.7083,0.6,0.628,0.365
ResNet18 + MIL + Macenko,0.9,0.9167,0.9,0.892,0.1,0.9,0.9167,0.9,0.892,0.15
ResNet18 + MIL + KAN,0.35,0.3125,0.35,0.2827,0.65,0.35,0.3125,0.35,0.2827,0.65
ResNet18 + Vision Mamba,0.6,0.5962,0.6,0.5486,0.4,0.5,0.4712,0.5,0.4375,0.49
ResNet18 + Vision Mamba + KAN,0.45,0.3715,0.45,0.3832,0.55,0.45,0.3333,0.45,0.3811,0.565
